Job Title,Company,Location,Via,Age,Time,Link
Security Architect - Urgent Position,National Research Council Canada,"Toronto, ON",via GrabJobs,2 days ago,Full-time,https://g.co/kgs/Davdvv
Cyber Security Architect,MRINetwork Jobs,"Toronto, ON",via Monster.ca,3 days ago,Full-time,https://g.co/kgs/VyKerx
Security Architect,Lancesoft,"Toronto, ON",via BeBee Canada,3 days ago,Full-time,https://g.co/kgs/qCewqU
Cyber Security Architect,PrecisionERP Incorporated,"Toronto, ON",via Trabajo.org,2 days ago,Full-time,https://g.co/kgs/mm5q1j
Security Architect,Quantum Technology Recruiting Inc. (QTR),"Toronto, ON",via BeBee Canada,1 day ago,Contractor,https://g.co/kgs/qCewqU
Cybersecurity Architect,CGI,"Toronto, ON",via ZipRecruiter,2 days ago,Full-time,https://g.co/kgs/VqCnqa
Principal Security Architect,Menlo Security Inc.,"Toronto, ON",via BeBee Canada,1 day ago,Full-time,https://g.co/kgs/yuD5SC
Principal Application Security Architect,Morningstar,"Toronto, ON",via BeBee Canada,2 days ago,Full-time,https://g.co/kgs/evHFjA
Senior Security Architect,Kubra Canada,"Brampton, ON",via BeBee Canada,2 days ago,Full-time,https://g.co/kgs/TrALxy
IT Security Architect / Analyst,BGIS,"Toronto, ON",via Glassdoor,2 days ago,Full-time,https://g.co/kgs/pBKkDK
