Job Title,Company,Location,Via,Age,Time,Link
SAP IS Utilities – Business Solution Architect,Enbridge,"Toronto, ON",via BeBee Canada,15 hours ago,Full-time,https://g.co/kgs/LHWD4q
Telecom Architect,ASGN Incorporated,"Toronto, ON",via SimplyHired,3 days ago,Full-time,https://g.co/kgs/1dyb7c
Solution Architect,Kainos Group plc,"Toronto, ON",via Jooble,3 days ago,Full-time,https://g.co/kgs/Vn5Rf6
Application Architect (Anaplan),Amaze Systems,"Toronto, ON",via LinkedIn,4 hours ago,Full-time,https://g.co/kgs/h9PDGZ
Data Architect/Modeller - Senior,S M Software Solutions Inc,"Toronto, ON",via LinkedIn,2 days ago,Contractor,https://g.co/kgs/aATbXr
API Integrations | AWS | Architect | Canada Region | Remote,Vertiscript Global,"Toronto, ON",via LinkedIn,19 hours ago,Contractor,https://g.co/kgs/k9CyoA
Junior Solution Architect,ABB Schweiz AG,"Brampton, ON",via BeBee Canada,2 days ago,Full-time,https://g.co/kgs/ZvefgY
Senior Solution Architect,Manulife Insurance Malaysia,"Toronto, ON",via BeBee Canada,1 day ago,Full-time,https://g.co/kgs/F7GgBA
Data Architect,IMAX,"Mississauga, ON",via LinkedIn,3 days ago,Full-time,https://g.co/kgs/a7NzAu
Solutions Architect,Survalent,"Brampton, ON",via BeBee Canada,3 days ago,Full-time,https://g.co/kgs/ZwZsoo
