Job Title,Company,Location,Via,Age,Time,Link
Solutions Architect,Synechron,"Toronto, ON",via Talent.com,2 days ago,Full-time,https://g.co/kgs/suYHU8
Solutions Architect,"Amazon Web Services Canada, Inc.","Toronto, ON",via ZipRecruiter,2 days ago,Full-time,https://g.co/kgs/Sdfgkv
Solutions Architect,Stantec,"Toronto, ON",via BeBee Canada,15 hours ago,Full-time,https://g.co/kgs/suYHU8
Data Solutions Architect,Lightspeed,"Toronto, ON",via Adzuna,2 days ago,Full-time,https://g.co/kgs/XFcdnL
Solution Architect,Wipro Limited,"Toronto, ON",via Indeed,3 days ago,Full-time,https://g.co/kgs/QC7Tir
Solutions Architect,Talentlab,"Toronto, ON",via BeBee Canada,2 days ago,Full-time,https://g.co/kgs/3zv6Y5
"Senior Solutions Architect, E Commerce IT, The Source",Bell Canada,"Toronto, ON",via Glassdoor,3 days ago,Full-time,https://g.co/kgs/fVP78D
SFMC Technical Architect,Stott and May,"Oakville, ON",via Jobs - Stott And May,3 days ago,Full-time,https://g.co/kgs/txSVvz
API Integrations | AWS | Architect | Canada Region | Remote,Vertiscript Global,"Toronto, ON",via LinkedIn,19 hours ago,Contractor,https://g.co/kgs/VGHvzv
Principal Solutions Architect,Comcast,"Toronto, ON",via Indeed,3 days ago,Full-time,https://g.co/kgs/QgyzuA
